;energy;liveness;speechiness;acousticness;instrumentalness;danceability;valence;uri;song_names;artist
0;0.5429999999999999;0.595;0.0468;0.14400000000000002;0.848;0.413;0.7090000000000001;spotify:track:26qIVWus5hMZUcWeJUxeJx;August Twelve;Khruangbin
1;0.757;0.0859;0.038;0.128;0.485;0.659;0.5529999999999999;spotify:track:5wQ4WwvlMMk0B7EKL5RBOM;Gamesofluck;Parcels
2;0.835;0.669;0.0701;0.025;0.00243;0.512;0.242;spotify:track:2OPmeyf31LlcIpYcJ4aegt;Safe and Sound (WWW);Justice
3;0.782;0.672;0.0323;0.0613;3.37e-06;0.58;0.27399999999999997;spotify:track:0LpnNgvF6z5HJYAgLClfMB;D.A.N.C.E. (WWW);Justice
4;0.9209999999999999;0.426;0.0996;0.0124;0.00131;0.555;0.217;spotify:track:50fkJxrv0ZLTt9EHZGBOP7;Canon x Love S.O.S. (WWW);Justice
5;0.767;0.10400000000000001;0.12;0.00409;0.605;0.541;0.258;spotify:track:7GTZa1773faSYybRdGDIjk;Genesis x Phantom (WWW);Justice
6;0.6920000000000001;0.16399999999999998;0.0489;0.006659999999999999;0.000258;0.598;0.41200000000000003;spotify:track:4qjaG01IhHt3ZdO1FVakbs;Pleasure x Newjack x Civilization (WWW);Justice
7;0.69;0.644;0.0367;0.007509999999999999;0.000538;0.39299999999999996;0.075;spotify:track:1qXBcPpscF2eynmVkITml7;Heavy Metal x DVNO (WWW);Justice
8;0.48;0.39399999999999996;0.0358;0.0012;0.00398;0.431;0.0399;spotify:track:6A1f57LykyUCDhbdj4tBcz;Stress (WWW);Justice
9;0.753;0.6629999999999999;0.0533;0.0612;0.0;0.391;0.083;spotify:track:0oBwbnefM7yniHJPjNrIVK;Love S.O.S. (WWW);Justice
10;0.787;0.871;0.061;0.00128;0.00215;0.5720000000000001;0.2;spotify:track:62XMD2zZ0SI9pDKOBuG9we;Alakazam ! x Fire (WWW);Justice
11;0.7659999999999999;0.155;0.0757;0.0045899999999999995;0.0008410000000000001;0.37200000000000005;0.151;spotify:track:0sibHAYzpx9FJRrGRr137u;Waters of Nazareth x We Are your Friends x Phantom 2 (WWW);Justice
12;0.772;0.0847;0.045;0.000503;0.855;0.43799999999999994;0.154;spotify:track:3DRcwunruhHB26AHT2jekM;Chorus (WWW);Justice
13;0.7340000000000001;0.305;0.0391;0.105;0.672;0.373;0.192;spotify:track:1xB3YT8Rakvnfcc1dp2kzJ;Audio, Video, Disco (WWW);Justice
14;0.513;0.248;0.0322;0.059000000000000004;0.0209;0.486;0.541;spotify:track:4vIS6tLNyk9Rq8oU2z4pBZ;Stop (WWW);Justice
